// First ray in my case
Dx = 0.036063, Dy = -0.087063, I = 1.207771e+04
Dx = 0.036063, Dy = -0.087063, I = 1.281242e+04
Dx = 0.036063, Dy = -0.087063, I = 7.551338e+03
Dx = 0.036063, Dy = -0.087063, I = 9.316172e+03
Dx = 0.036063, Dy = -0.087063, I = 9.703892e+03
Dx = 0.036063, Dy = -0.087063, I = 3.837001e+03
Dx = 0.036063, Dy = -0.087063, I = 4.355367e+03
Dx = 0.036063, Dy = -0.087063, I = 4.425397e+03

// 13th ray
Dx = -0.036063, Dy = -0.087063, I = 1.266226e+04
Dx = -0.036063, Dy = -0.087063, I = 1.149317e+04
Dx = -0.036063, Dy = -0.087063, I = 7.205102e+03
Dx = -0.036063, Dy = -0.087063, I = 9.635780e+03
Dx = -0.036063, Dy = -0.087063, I = 8.996563e+03
Dx = -0.036063, Dy = -0.087063, I = 6.106112e+03
Dx = -0.036063, Dy = -0.087063, I = 4.417062e+03
Dx = -0.036063, Dy = -0.087063, I = 4.293672e+03
Dx = -0.036063, Dy = -0.087063, I = 3.380329e+03

// 14th ray
Dx = -0.087063, Dy = -0.036063, I = 1.266226e+04
Dx = -0.087063, Dy = -0.036063, I = 9.635780e+03
Dx = -0.087063, Dy = -0.036063, I = 4.417062e+03
Dx = -0.087063, Dy = -0.036063, I = 1.149317e+04
Dx = -0.087063, Dy = -0.036063, I = 8.996563e+03
Dx = -0.087063, Dy = -0.036063, I = 4.293672e+03
Dx = -0.087063, Dy = -0.036063, I = 7.205102e+03
Dx = -0.087063, Dy = -0.036063, I = 6.106112e+03
Dx = -0.087063, Dy = -0.036063, I = 3.380329e+03

// 15th ray
Dx = -0.087063, Dy = 0.036063, I = 7.205102e+03
Dx = -0.087063, Dy = 0.036063, I = 6.106112e+03
Dx = -0.087063, Dy = 0.036063, I = 3.380329e+03
Dx = -0.087063, Dy = 0.036063, I = 1.149317e+04
Dx = -0.087063, Dy = 0.036063, I = 8.996563e+03
Dx = -0.087063, Dy = 0.036063, I = 4.293672e+03
Dx = -0.087063, Dy = 0.036063, I = 1.266226e+04
Dx = -0.087063, Dy = 0.036063, I = 9.635780e+03
Dx = -0.087063, Dy = 0.036063, I = 4.417062e+03

//16th ray
Dx = -0.036063, Dy = 0.087063, I = 4.425397e+03
Dx = -0.036063, Dy = 0.087063, I = 4.355367e+03
Dx = -0.036063, Dy = 0.087063, I = 3.837001e+03
Dx = -0.036063, Dy = 0.087063, I = 9.703892e+03
Dx = -0.036063, Dy = 0.087063, I = 9.316172e+03
Dx = -0.036063, Dy = 0.087063, I = 7.551338e+03
Dx = -0.036063, Dy = 0.087063, I = 1.281242e+04
Dx = -0.036063, Dy = 0.087063, I = 1.207771e+04
Dx = -0.036063, Dy = 0.087063, I = 9.349135e+03

// 17th ray
Dx = 0.078956, Dy = 0.190617, I = 2.812024e+03
Dx = 0.078956, Dy = 0.190617, I = 3.219320e+03
Dx = 0.078956, Dy = 0.190617, I = 3.278313e+03
Dx = 0.078956, Dy = 0.190617, I = 5.836052e+03
Dx = 0.078956, Dy = 0.190617, I = 7.354864e+03
Dx = 0.078956, Dy = 0.190617, I = 7.724855e+03
Dx = 0.078956, Dy = 0.190617, I = 7.462059e+03
Dx = 0.078956, Dy = 0.190617, I = 9.940675e+03
Dx = 0.078956, Dy = 0.190617, I = 1.069166e+04

// 18th ray
Dx = 0.190617, Dy = 0.078956, I = 3.536406e+03
Dx = 0.190617, Dy = 0.078956, I = 5.091553e+03
Dx = 0.190617, Dy = 0.078956, I = 5.775435e+03
Dx = 0.190617, Dy = 0.078956, I = 5.111670e+03
Dx = 0.190617, Dy = 0.078956, I = 8.206557e+03
Dx = 0.190617, Dy = 0.078956, I = 1.002298e+04
Dx = 0.190617, Dy = 0.078956, I = 5.462514e+03
Dx = 0.190617, Dy = 0.078956, I = 9.088981e+03
Dx = 0.190617, Dy = 0.078956, I = 1.144347e+04

// 19th ray
Dx = 0.190617, Dy = -0.078956, I = 5.462514e+03
Dx = 0.190617, Dy = -0.078956, I = 9.088981e+03
Dx = 0.190617, Dy = -0.078956, I = 1.144347e+04
Dx = 0.190617, Dy = -0.078956, I = 5.111670e+03
Dx = 0.190617, Dy = -0.078956, I = 8.206557e+03
Dx = 0.190617, Dy = -0.078956, I = 1.002298e+04
Dx = 0.190617, Dy = -0.078956, I = 3.536406e+03
Dx = 0.190617, Dy = -0.078956, I = 5.091553e+03
Dx = 0.190617, Dy = -0.078956, I = 5.775435e+03

// 20th ray
Dx = 0.078956, Dy = -0.190617, I = 7.462059e+03
Dx = 0.078956, Dy = -0.190617, I = 9.940675e+03
Dx = 0.078956, Dy = -0.190617, I = 1.069166e+04
