dfm.y = 0.004266,Intensity = 0.612934, heat flux = 0.002615
dfm.y = 0.010299,Intensity = 0.998235, heat flux = 0.012896
dfm.y = 0.010299,Intensity = 1.776179, heat flux = 0.031188
dfm.y = 0.004266,Intensity = 1.776180, heat flux = 0.038765
dfm.y = 0.034596,Intensity = 0.281378, heat flux = 0.048500
dfm.y = 0.083522,Intensity = 0.551493, heat flux = 0.094562
dfm.y = 0.083522,Intensity = 1.471377, heat flux = 0.217455
dfm.y = 0.034596,Intensity = 1.471378, heat flux = 0.268359
dfm.y = 0.077489,Intensity = 0.203669, heat flux = 0.284141
dfm.y = 0.187075,Intensity = 0.418429, heat flux = 0.362419
dfm.y = 0.187075,Intensity = 1.256941, heat flux = 0.597562
dfm.y = 0.077490,Intensity = 1.256942, heat flux = 0.694962
dfm.y = 0.107819,Intensity = 0.178931, heat flux = 0.714254
dfm.y = 0.260298,Intensity = 0.373264, heat flux = 0.811414
dfm.y = 0.260299,Intensity = 1.166419, heat flux = 1.115031
dfm.y = 0.107820,Intensity = 1.166420, heat flux = 1.240794
dfm.y = 0.107819,Intensity = 0.178931, heat flux = 1.260086
dfm.y = 0.260299,Intensity = 0.373264, heat flux = 1.357246
dfm.y = 0.260299,Intensity = 1.166419, heat flux = 1.660864
dfm.y = 0.107820,Intensity = 1.166420, heat flux = 1.786628
dfm.y = 0.077489,Intensity = 0.203669, heat flux = 1.802410
dfm.y = 0.187076,Intensity = 0.418428, heat flux = 1.880688
dfm.y = 0.187076,Intensity = 1.256940, heat flux = 2.115831
dfm.y = 0.077490,Intensity = 1.256941, heat flux = 2.213232
dfm.y = 0.034596,Intensity = 0.281378, heat flux = 2.222967
dfm.y = 0.083523,Intensity = 0.551492, heat flux = 2.269029
dfm.y = 0.083523,Intensity = 1.471376, heat flux = 2.391922
dfm.y = 0.034596,Intensity = 1.471377, heat flux = 2.442827
dfm.y = 0.010299,Intensity = 1.776179, heat flux = 2.461120
dfm.y = 0.004266,Intensity = 1.776179, heat flux = 2.468697
dfm.y = 0.004266,Intensity = 0.612931, heat flux = 2.471312
dfm.y = 0.010299,Intensity = 0.998232, heat flux = 2.481592
0.050000	 0.437671
dfm.y = 0.004266,Intensity = 1.017709, heat flux = 0.004342
dfm.y = 0.010299,Intensity = 1.440557, heat flux = 0.019178
dfm.y = 0.010299,Intensity = 1.775875, heat flux = 0.037467
dfm.y = 0.004266,Intensity = 1.761578, heat flux = 0.044982
dfm.y = 0.034596,Intensity = 0.518886, heat flux = 0.062934
dfm.y = 0.083522,Intensity = 0.919707, heat flux = 0.139750
dfm.y = 0.083522,Intensity = 1.468756, heat flux = 0.262423
dfm.y = 0.034596,Intensity = 1.410877, heat flux = 0.311235
dfm.y = 0.077489,Intensity = 0.384352, heat flux = 0.341018
dfm.y = 0.187075,Intensity = 0.723502, heat flux = 0.476367
dfm.y = 0.187075,Intensity = 1.253539, heat flux = 0.710873
dfm.y = 0.077490,Intensity = 1.188661, heat flux = 0.802982
dfm.y = 0.107819,Intensity = 0.340121, heat flux = 0.839654
dfm.y = 0.260298,Intensity = 0.652967, heat flux = 1.009620
dfm.y = 0.260299,Intensity = 1.162843, heat flux = 1.312306
dfm.y = 0.107820,Intensity = 1.097644, heat flux = 1.430654
dfm.y = 0.107819,Intensity = 0.340120, heat flux = 1.467325
dfm.y = 0.260299,Intensity = 0.652967, heat flux = 1.637292
dfm.y = 0.260299,Intensity = 1.162843, heat flux = 1.939979
dfm.y = 0.107820,Intensity = 1.097644, heat flux = 2.058326
dfm.y = 0.077489,Intensity = 0.384351, heat flux = 2.088109
dfm.y = 0.187076,Intensity = 0.723502, heat flux = 2.223459
dfm.y = 0.187076,Intensity = 1.253537, heat flux = 2.457966
dfm.y = 0.077490,Intensity = 1.188660, heat flux = 2.550076
dfm.y = 0.034596,Intensity = 0.518886, heat flux = 2.568027
dfm.y = 0.083523,Intensity = 0.919706, heat flux = 2.644843
dfm.y = 0.083523,Intensity = 1.468755, heat flux = 2.767518
dfm.y = 0.034596,Intensity = 1.410876, heat flux = 2.816329
dfm.y = 0.010299,Intensity = 1.775875, heat flux = 2.834619
dfm.y = 0.004266,Intensity = 1.761577, heat flux = 2.842134
dfm.y = 0.004266,Intensity = 1.017704, heat flux = 2.846476
dfm.y = 0.010299,Intensity = 1.440554, heat flux = 2.861312
0.150000	 0.504641
dfm.y = 0.004266,Intensity = 1.285016, heat flux = 0.005482
dfm.y = 0.010299,Intensity = 1.634323, heat flux = 0.022314
dfm.y = 0.010299,Intensity = 1.775044, heat flux = 0.040595
dfm.y = 0.004266,Intensity = 1.739441, heat flux = 0.048015
dfm.y = 0.034596,Intensity = 0.719357, heat flux = 0.072902
dfm.y = 0.083522,Intensity = 1.155555, heat flux = 0.169416
dfm.y = 0.083522,Intensity = 1.463083, heat flux = 0.291617
dfm.y = 0.034596,Intensity = 1.338879, heat flux = 0.337937
dfm.y = 0.077489,Intensity = 0.544636, heat flux = 0.380140
dfm.y = 0.187075,Intensity = 0.934659, heat flux = 0.554992
dfm.y = 0.187075,Intensity = 1.246491, heat flux = 0.788179
dfm.y = 0.077490,Intensity = 1.111247, heat flux = 0.874290
dfm.y = 0.107819,Intensity = 0.485320, heat flux = 0.926616
dfm.y = 0.260298,Intensity = 0.851228, heat flux = 1.148189
dfm.y = 0.260299,Intensity = 1.155535, heat flux = 1.448974
dfm.y = 0.107820,Intensity = 1.020822, heat flux = 1.559039
dfm.y = 0.107819,Intensity = 0.485320, heat flux = 1.611365
dfm.y = 0.260299,Intensity = 0.851228, heat flux = 1.832939
dfm.y = 0.260299,Intensity = 1.155535, heat flux = 2.133723
dfm.y = 0.107820,Intensity = 1.020821, heat flux = 2.243788
dfm.y = 0.077489,Intensity = 0.544635, heat flux = 2.285991
dfm.y = 0.187076,Intensity = 0.934658, heat flux = 2.460844
dfm.y = 0.187076,Intensity = 1.246490, heat flux = 2.694032
dfm.y = 0.077490,Intensity = 1.111246, heat flux = 2.780143
dfm.y = 0.034596,Intensity = 0.719357, heat flux = 2.805030
dfm.y = 0.083523,Intensity = 1.155554, heat flux = 2.901545
dfm.y = 0.083523,Intensity = 1.463083, heat flux = 3.023745
dfm.y = 0.034596,Intensity = 1.338878, heat flux = 3.070066
dfm.y = 0.010299,Intensity = 1.775043, heat flux = 3.088347
dfm.y = 0.004266,Intensity = 1.739440, heat flux = 3.095768
dfm.y = 0.004266,Intensity = 1.285012, heat flux = 3.101250
