Cell Id:0,Intensity = 61269.171875
Cell Id:1,Intensity = 28406.664062
Cell Id:2,Intensity = 18723.076172
Cell Id:3,Intensity = 14843.293945
Cell Id:4,Intensity = 10388.379883
Cell Id:5,Intensity = 8170.786133
Cell Id:6,Intensity = 8567.190430
Cell Id:7,Intensity = 6591.061523
Cell Id:8,Intensity = 5474.044922

ray ID: 13, Dfm.x = -0.083522, Dfm.y = -0.034596, Dfm.z = 0.125000
Cell Id:0,Intensity = 61269.398438
Cell Id:1,Intensity = 14843.368164
Cell Id:2,Intensity = 8567.230469
Cell Id:3,Intensity = 28406.513672
Cell Id:4,Intensity = 10388.375977
Cell Id:5,Intensity = 6591.065430
Cell Id:6,Intensity = 18722.921875
Cell Id:7,Intensity = 8170.761719
Cell Id:8,Intensity = 5474.036133

ray ID: 14, Dfm.x = -0.083522, Dfm.y = 0.034596, Dfm.z = 0.125000
Cell Id:0,Intensity = 18723.123047
Cell Id:1,Intensity = 8170.798340
Cell Id:2,Intensity = 5474.051270
Cell Id:3,Intensity = 28406.707031
Cell Id:4,Intensity = 10388.386719
Cell Id:5,Intensity = 6591.064453
Cell Id:6,Intensity = 61269.082031
Cell Id:7,Intensity = 14843.280273
Cell Id:8,Intensity = 8567.183594

ray ID: 15, Dfm.x = -0.034596, Dfm.y = 0.083523, Dfm.z = 0.125000
Cell Id:0,Intensity = 8567.216797
Cell Id:1,Intensity = 6591.063965
Cell Id:2,Intensity = 5474.039062
Cell Id:3,Intensity = 14843.342773
Cell Id:4,Intensity = 10388.376953
Cell Id:5,Intensity = 8170.770508
Cell Id:6,Intensity = 61269.320312
Cell Id:7,Intensity = 28406.566406
Cell Id:8,Intensity = 18722.974609

ray ID: 16, Dfm.x = 0.077489, Dfm.y = 0.187075, Dfm.z = 0.125000
Cell Id:0,Intensity = 4163.026367
Cell Id:1,Intensity = 5101.095703
Cell Id:2,Intensity = 6857.756836
Cell Id:3,Intensity = 6427.731934
Cell Id:4,Intensity = 8386.429688
Cell Id:5,Intensity = 12629.206055
Cell Id:6,Intensity = 16797.853516
Cell Id:7,Intensity = 27435.375000
Cell Id:8,Intensity = 74635.187500

ray ID: 17, Dfm.x = 0.187075, Dfm.y = 0.077489, Dfm.z = 0.125000
Cell Id:0,Intensity = 4163.024902
Cell Id:1,Intensity = 6427.727539
Cell Id:2,Intensity = 16797.814453
Cell Id:3,Intensity = 5101.097168
Cell Id:4,Intensity = 8386.429688
Cell Id:5,Intensity = 27435.330078
Cell Id:6,Intensity = 6857.766602
Cell Id:7,Intensity = 12629.224609
Cell Id:8,Intensity = 74635.250000

ray ID: 18, Dfm.x = 0.187075, Dfm.y = -0.077489, Dfm.z = 0.125000
Cell Id:0,Intensity = 6857.747559
Cell Id:1,Intensity = 12629.190430
Cell Id:2,Intensity = 74635.179688
Cell Id:3,Intensity = 5101.092285
Cell Id:4,Intensity = 8386.426758
Cell Id:5,Intensity = 27435.406250
Cell Id:6,Intensity = 4163.024902
Cell Id:7,Intensity = 6427.732422
Cell Id:8,Intensity = 16797.876953

ray ID: 19, Dfm.x = 0.077489, Dfm.y = -0.187075, Dfm.z = 0.125000
Cell Id:0,Intensity = 16797.781250
Cell Id:1,Intensity = 27435.294922
Cell Id:2,Intensity = 74635.328125
Cell Id:3,Intensity = 6427.720215
Cell Id:4,Intensity = 8386.423828
Cell Id:5,Intensity = 12629.229492
Cell Id:6,Intensity = 4163.020996
Cell Id:7,Intensity = 5101.094238
Cell Id:8,Intensity = 6857.768555

ray ID: 20, Dfm.x = -0.077489, Dfm.y = -0.187075, Dfm.z = 0.125000
Cell Id:0,Intensity = 74635.117188
Cell Id:1,Intensity = 27435.429688
Cell Id:2,Intensity = 16797.898438
Cell Id:3,Intensity = 12629.186523
Cell Id:4,Intensity = 8386.430664
Cell Id:5,Intensity = 6427.736816
Cell Id:6,Intensity = 6857.746094
Cell Id:7,Intensity = 5101.094238
Cell Id:8,Intensity = 4163.027344

ray ID: 21, Dfm.x = -0.187075, Dfm.y = -0.077490, Dfm.z = 0.125000
Cell Id:0,Intensity = 74635.398438
Cell Id:1,Intensity = 12629.250977
Cell Id:2,Intensity = 6857.779297
Cell Id:3,Intensity = 27435.242188
Cell Id:4,Intensity = 8386.424805
Cell Id:5,Intensity = 5101.096191
Cell Id:6,Intensity = 16797.736328
Cell Id:7,Intensity = 6427.714844
Cell Id:8,Intensity = 4163.019531

ray ID: 22, Dfm.x = -0.187076, Dfm.y = 0.077488, Dfm.z = 0.125000
Cell Id:0,Intensity = 16797.955078
Cell Id:1,Intensity = 6427.744629
Cell Id:2,Intensity = 4163.030273
Cell Id:3,Intensity = 27435.494141
Cell Id:4,Intensity = 8386.432617
Cell Id:5,Intensity = 5101.093262
Cell Id:6,Intensity = 74635.023438
Cell Id:7,Intensity = 12629.163086
Cell Id:8,Intensity = 6857.734863

ray ID: 23, Dfm.x = -0.077490, Dfm.y = 0.187076, Dfm.z = 0.125001
Cell Id:0,Intensity = 6857.765137
Cell Id:1,Intensity = 5101.094238
Cell Id:2,Intensity = 4163.022461
Cell Id:3,Intensity = 12629.224609
Cell Id:4,Intensity = 8386.425781
Cell Id:5,Intensity = 6427.723145
Cell Id:6,Intensity = 74635.296875
