Dx = -0.190617, Dy = 0.078956, I = 9.357566e-01
Dx = -0.190617, Dy = 0.078956, I = 7.055549e-01
Dx = -0.190617, Dy = 0.078956, I = 3.167791e-01
Dx = -0.190617, Dy = 0.078956, I = 1.052378e+00
Dx = -0.190617, Dy = 0.078956, I = 7.654179e-01
Dx = -0.190617, Dy = 0.078956, I = 3.270849e-01
Dx = -0.190617, Dy = -0.078956, I = 1.052378e+00
Dx = -0.190617, Dy = -0.078956, I = 7.654179e-01
Dx = -0.190617, Dy = -0.078956, I = 3.270849e-01
Dx = -0.190617, Dy = -0.078956, I = 9.357566e-01
Dx = -0.190617, Dy = -0.078956, I = 7.055549e-01
Dx = -0.190617, Dy = -0.078956, I = 3.167791e-01
Dx = -0.190617, Dy = -0.078956, I = 5.566553e-01
Dx = -0.190617, Dy = -0.078956, I = 4.616555e-01
Dx = -0.190617, Dy = -0.078956, I = 2.456259e-01
Dx = -0.078956, Dy = -0.190617, I = 1.052378e+00
Dx = -0.078956, Dy = -0.190617, I = 9.357566e-01
Dx = -0.078956, Dy = -0.190617, I = 5.566553e-01
Dx = -0.078956, Dy = -0.190617, I = 7.654179e-01
Dx = -0.078956, Dy = -0.190617, I = 7.055549e-01
Dx = -0.078956, Dy = -0.190617, I = 4.616555e-01
Dx = -0.078956, Dy = -0.190617, I = 3.270849e-01
Dx = -0.078956, Dy = -0.190617, I = 3.167791e-01
Dx = -0.078956, Dy = -0.190617, I = 2.456259e-01
Dx = 0.078956, Dy = -0.190617, I = 7.462059e-01
Dx = 0.078956, Dy = -0.190617, I = 9.940675e-01
Dx = 0.078956, Dy = -0.190617, I = 1.069166e+00
Dx = 0.078956, Dy = -0.190617, I = 5.836052e-01
Dx = 0.078956, Dy = -0.190617, I = 7.354864e-01
Dx = 0.078956, Dy = -0.190617, I = 7.724855e-01
Dx = 0.078956, Dy = -0.190617, I = 2.812024e-01
Dx = 0.078956, Dy = -0.190617, I = 3.219320e-01
Dx = 0.078956, Dy = -0.190617, I = 3.278313e-01
Dx = 0.190617, Dy = -0.078956, I = 5.462514e-01
Dx = 0.190617, Dy = -0.078956, I = 9.088981e-01
Dx = 0.190617, Dy = -0.078956, I = 1.144347e+00
Dx = 0.190617, Dy = -0.078956, I = 5.111670e-01
Dx = 0.190617, Dy = -0.078956, I = 8.206557e-01
Dx = 0.190617, Dy = -0.078956, I = 1.002298e+00
Dx = 0.190617, Dy = -0.078956, I = 3.536406e-01
Dx = 0.190617, Dy = -0.078956, I = 5.091553e-01
Dx = 0.190617, Dy = -0.078956, I = 5.775435e-01
Dx = 0.263840, Dy = 0.109286, I = 3.103645e-01
Dx = 0.263840, Dy = 0.109286, I = 4.509185e-01
Dx = 0.263840, Dy = 0.109286, I = 5.145709e-01
Dx = 0.263840, Dy = 0.109286, I = 4.536885e-01
Dx = 0.263840, Dy = 0.109286, I = 7.390430e-01
Dx = 0.263840, Dy = 0.109286, I = 9.128061e-01
Dx = 0.263840, Dy = 0.109286, I = 4.867815e-01
Dx = 0.263840, Dy = 0.109286, I = 8.240170e-01
Dx = 0.263840, Dy = 0.109286, I = 1.052124e+00
Dx = 0.109286, Dy = 0.263840, I = 2.452924e-01
Dx = 0.109286, Dy = 0.263840, I = 2.816581e-01
Dx = 0.109286, Dy = 0.263840, I = 2.870494e-01
Dx = 0.109286, Dy = 0.263840, I = 5.187606e-01
Dx = 0.109286, Dy = 0.263840, I = 6.588120e-01
Dx = 0.109286, Dy = 0.263840, I = 6.941547e-01
Dx = 0.109286, Dy = 0.263840, I = 6.712008e-01
Dx = 0.109286, Dy = 0.263840, I = 9.042480e-01
Dx = 0.109286, Dy = 0.263840, I = 9.777589e-01
Dx = -0.109286, Dy = 0.263840, I = 2.870494e-01
Dx = -0.109286, Dy = 0.263840, I = 2.816581e-01
Dx = -0.109286, Dy = 0.263840, I = 2.452924e-01
Dx = -0.109286, Dy = 0.263840, I = 6.941547e-01
Dx = -0.109286, Dy = 0.263840, I = 6.588120e-01
Dx = -0.109286, Dy = 0.263840, I = 5.187606e-01
Dx = -0.109286, Dy = 0.263840, I = 9.777589e-01
Dx = -0.109286, Dy = 0.263840, I = 9.042480e-01
Dx = -0.109286, Dy = 0.263840, I = 6.712008e-01
Dx = -0.263840, Dy = 0.109286, I = 4.947303e-01
Dx = -0.263840, Dy = 0.109286, I = 4.071073e-01
Dx = -0.263840, Dy = 0.109286, I = 2.136224e-01
Dx = -0.263840, Dy = 0.109286, I = 8.476719e-01
Dx = -0.263840, Dy = 0.109286, I = 6.304145e-01
Dx = -0.263840, Dy = 0.109286, I = 2.769631e-01
Dx = -0.263840, Dy = 0.109286, I = 9.608244e-01
Dx = -0.263840, Dy = 0.109286, I = 6.872099e-01
Dx = -0.263840, Dy = 0.109286, I = 2.863536e-01
Dx = -0.263840, Dy = -0.109286, I = 9.608244e-01
Dx = -0.263840, Dy = -0.109286, I = 6.872099e-01
Dx = -0.263840, Dy = -0.109286, I = 2.863536e-01
Dx = -0.263840, Dy = -0.109286, I = 8.476719e-01
Dx = -0.263840, Dy = -0.109286, I = 6.304145e-01
Dx = -0.263840, Dy = -0.109286, I = 2.769631e-01
Dx = -0.263840, Dy = -0.109286, I = 4.947303e-01
Dx = -0.263840, Dy = -0.109286, I = 4.071073e-01
Dx = -0.263840, Dy = -0.109286, I = 2.136224e-01
Dx = -0.109286, Dy = -0.263840, I = 9.608244e-01
Dx = -0.109286, Dy = -0.263840, I = 8.476719e-01
Dx = -0.109286, Dy = -0.263840, I = 4.947303e-01
Dx = -0.109286, Dy = -0.263840, I = 6.872099e-01
Dx = -0.109286, Dy = -0.263840, I = 6.304145e-01
Dx = -0.109286, Dy = -0.263840, I = 4.071073e-01
Dx = -0.109286, Dy = -0.263840, I = 2.863536e-01
